locale_slug,locale_name,locale_localized_name,locale_url,locale_leaders,locale_reviewers,locale_editors,active_contributors_last90
dsb,Lower Sorbian,,https://support.mozilla.org/en-US/kb/locales/dsb,https://support.mozilla.org/en-US/user/milupo/,https://support.mozilla.org/en-US/user/milupo/,https://support.mozilla.org/en-US/user/milupo/,""
hsb,Upper Sorbian,,https://support.mozilla.org/en-US/kb/locales/hsb,https://support.mozilla.org/en-US/user/milupo/,https://support.mozilla.org/en-US/user/milupo/,https://support.mozilla.org/en-US/user/milupo/,https://support.mozilla.org/en-US/user/milupo/
id,Indonesian,,https://support.mozilla.org/en-US/kb/locales/id,https://support.mozilla.org/en-US/user/romi/;https://support.mozilla.org/en-US/user/belutz/;https://support.mozilla.org/en-US/user/handisutrian/,https://support.mozilla.org/en-US/user/romi/;https://support.mozilla.org/en-US/user/belutz/;https://support.mozilla.org/en-US/user/rara79/;https://support.mozilla.org/en-US/user/fauzanalfi/;https://support.mozilla.org/en-US/user/kelimutu/;https://support.mozilla.org/en-US/user/kiki_gmail/,https://support.mozilla.org/en-US/user/romi/;https://support.mozilla.org/en-US/user/belutz/;https://support.mozilla.org/en-US/user/rara79/;https://support.mozilla.org/en-US/user/fauzanalfi/;https://support.mozilla.org/en-US/user/peppeishaam/;https://support.mozilla.org/en-US/user/kelimutu/;https://support.mozilla.org/en-US/user/yoeonee/;https://support.mozilla.org/en-US/user/BobbyWibowo/;https://support.mozilla.org/en-US/user/kiki_gmail/,https://support.mozilla.org/en-US/user/halonanoviaanty/;https://support.mozilla.org/en-US/user/kelimutu/;https://support.mozilla.org/en-US/user/pusatpengaduan23/;https://support.mozilla.org/en-US/user/sopanimuhrod/;https://support.mozilla.org/en-US/user/Spinwild1/;https://support.mozilla.org/en-US/user/zulvin6/
ig,Igbo,,https://support.mozilla.org/en-US/kb/locales/ig,https://support.mozilla.org/en-US/user/vesper/,"","",""
it,Italian,,https://support.mozilla.org/en-US/kb/locales/it,https://support.mozilla.org/en-US/user/underpass/;https://support.mozilla.org/en-US/user/michro/,https://support.mozilla.org/en-US/user/underpass/;https://support.mozilla.org/en-US/user/miki64/;https://support.mozilla.org/en-US/user/michro/;https://support.mozilla.org/en-US/user/@next/;https://support.mozilla.org/en-US/user/Iceberg_/,https://support.mozilla.org/en-US/user/underpass/;https://support.mozilla.org/en-US/user/gialloporpora/;https://support.mozilla.org/en-US/user/miki64/;https://support.mozilla.org/en-US/user/michro/;https://support.mozilla.org/en-US/user/mitakpa/;https://support.mozilla.org/en-US/user/chiara_lyla/;https://support.mozilla.org/en-US/user/Nellus91/;https://support.mozilla.org/en-US/user/MozGianluc/;https://support.mozilla.org/en-US/user/@next/;https://support.mozilla.org/en-US/user/nathan95/,https://support.mozilla.org/en-US/user/aleeedg/;https://support.mozilla.org/en-US/user/gm44/;https://support.mozilla.org/en-US/user/michro/;https://support.mozilla.org/en-US/user/nathan95/
ja,Japanese,,https://support.mozilla.org/en-US/kb/locales/ja,https://support.mozilla.org/en-US/user/marsf/;https://support.mozilla.org/en-US/user/dynamis/;https://support.mozilla.org/en-US/user/hamasaki/;https://support.mozilla.org/en-US/user/dskmori/,https://support.mozilla.org/en-US/user/Cai/;https://support.mozilla.org/en-US/user/marsf/;https://support.mozilla.org/en-US/user/dynamis/;https://support.mozilla.org/en-US/user/hamasaki/;https://support.mozilla.org/en-US/user/yyss/;https://support.mozilla.org/en-US/user/dskmori/;https://support.mozilla.org/en-US/user/user328097762499745498160400268278212122338/;https://support.mozilla.org/en-US/user/delihiros/;https://support.mozilla.org/en-US/user/elie-j/;https://support.mozilla.org/en-US/user/chikoski/;https://support.mozilla.org/en-US/user/kenyama/;https://support.mozilla.org/en-US/user/trsn4649/,https://support.mozilla.org/en-US/user/Cai/;https://support.mozilla.org/en-US/user/marsf/;https://support.mozilla.org/en-US/user/dynamis/;https://support.mozilla.org/en-US/user/hamasaki/;https://support.mozilla.org/en-US/user/himorin/;https://support.mozilla.org/en-US/user/Potappo/;https://support.mozilla.org/en-US/user/yyss/;https://support.mozilla.org/en-US/user/dskmori/;https://support.mozilla.org/en-US/user/user328097762499745498160400268278212122338/;https://support.mozilla.org/en-US/user/delihiros/;https://support.mozilla.org/en-US/user/yassan138/;https://support.mozilla.org/en-US/user/sys9kdr/;https://support.mozilla.org/en-US/user/yoshiyokotani/;https://support.mozilla.org/en-US/user/elie-j/;https://support.mozilla.org/en-US/user/chikoski/;https://support.mozilla.org/en-US/user/regonn/;https://support.mozilla.org/en-US/user/kohei.yoshino/;https://support.mozilla.org/en-US/user/meco300/;https://support.mozilla.org/en-US/user/mantaroh/;https://support.mozilla.org/en-US/user/TDUFirefoxClub/;https://support.mozilla.org/en-US/user/hashedhyphen/;https://support.mozilla.org/en-US/user/Uemmra3/;https://support.mozilla.org/en-US/user/T.Ukegawa/;https://support.mozilla.org/en-US/user/lv7777/;https://support.mozilla.org/en-US/user/YuichiNukiyama/;https://support.mozilla.org/en-US/user/kohakuchan/;https://support.mozilla.org/en-US/user/kenyama/;https://support.mozilla.org/en-US/user/fixme1/;https://support.mozilla.org/en-US/user/mokich1one/;https://support.mozilla.org/en-US/user/trsn4649/,https://support.mozilla.org/en-US/user/aqb.petra/;https://support.mozilla.org/en-US/user/dskmori/;https://support.mozilla.org/en-US/user/hebiyan/;https://support.mozilla.org/en-US/user/kelimutu/;https://support.mozilla.org/en-US/user/kenyama/;https://support.mozilla.org/en-US/user/marsf/;https://support.mozilla.org/en-US/user/mokich1one/;https://support.mozilla.org/en-US/user/trsn4649/;https://support.mozilla.org/en-US/user/T.Ukegawa/
ka,Georgian,,https://support.mozilla.org/en-US/kb/locales/ka,https://support.mozilla.org/en-US/user/Georgianizator/;https://support.mozilla.org/en-US/user/georgianization/,https://support.mozilla.org/en-US/user/Georgianizator/;https://support.mozilla.org/en-US/user/georgianization/,https://support.mozilla.org/en-US/user/Georgianizator/,https://support.mozilla.org/en-US/user/Georgianizator/;https://support.mozilla.org/en-US/user/kelimutu/;https://support.mozilla.org/en-US/user/veshaguri_82/
km,Khmer,,https://support.mozilla.org/en-US/kb/locales/km,https://support.mozilla.org/en-US/user/Marang/;https://support.mozilla.org/en-US/user/Pokno_Royal/,https://support.mozilla.org/en-US/user/Marang/,https://support.mozilla.org/en-US/user/Marang/,""
kn,Kannada,,https://support.mozilla.org/en-US/kb/locales/kn,https://support.mozilla.org/en-US/user/omshivaprakash/,https://support.mozilla.org/en-US/user/omshivaprakash/,https://support.mozilla.org/en-US/user/abhilash/;https://support.mozilla.org/en-US/user/Ashishnamdev/;https://support.mozilla.org/en-US/user/mananthaprabhu/;https://support.mozilla.org/en-US/user/skolige/;https://support.mozilla.org/en-US/user/omshivaprakash/;https://support.mozilla.org/en-US/user/tanu_tanmay/,""
ko,Korean,,https://support.mozilla.org/en-US/kb/locales/ko,https://support.mozilla.org/en-US/user/Channy/;https://support.mozilla.org/en-US/user/hyeonseok/;https://support.mozilla.org/en-US/user/seulgi/,https://support.mozilla.org/en-US/user/Channy/;https://support.mozilla.org/en-US/user/naddo/;https://support.mozilla.org/en-US/user/dskmori/;https://support.mozilla.org/en-US/user/qrooqroo/;https://support.mozilla.org/en-US/user/yjw2288/;https://support.mozilla.org/en-US/user/jaebeom/;https://support.mozilla.org/en-US/user/hyeonseok/;https://support.mozilla.org/en-US/user/paperbox/;https://support.mozilla.org/en-US/user/danhojin/;https://support.mozilla.org/en-US/user/seulgi/,https://support.mozilla.org/en-US/user/Channy/;https://support.mozilla.org/en-US/user/naddo/;https://support.mozilla.org/en-US/user/qrooqroo/;https://support.mozilla.org/en-US/user/yjw2288/;https://support.mozilla.org/en-US/user/jaebeom/;https://support.mozilla.org/en-US/user/hyeonseok/;https://support.mozilla.org/en-US/user/paperbox/;https://support.mozilla.org/en-US/user/seulgi/,https://support.mozilla.org/en-US/user/icecream430909/;https://support.mozilla.org/en-US/user/kbs4x4/;https://support.mozilla.org/en-US/user/paperbox/;https://support.mozilla.org/en-US/user/zzulu.hwang/
ln,Lingala,,https://support.mozilla.org/en-US/kb/locales/ln,https://support.mozilla.org/en-US/user/vesper/,"","",""
lt,Lithuanian,,https://support.mozilla.org/en-US/kb/locales/lt,https://support.mozilla.org/en-US/user/rq/,https://support.mozilla.org/en-US/user/tatjanaj/;https://support.mozilla.org/en-US/user/tomfareham/;https://support.mozilla.org/en-US/user/donarena/;https://support.mozilla.org/en-US/user/donarena2/,https://support.mozilla.org/en-US/user/tatjanaj/;https://support.mozilla.org/en-US/user/dzoninho/;https://support.mozilla.org/en-US/user/tomfareham/;https://support.mozilla.org/en-US/user/PSukys/;https://support.mozilla.org/en-US/user/Erbis/;https://support.mozilla.org/en-US/user/MKStanioni/,https://support.mozilla.org/en-US/user/donarena2/;https://support.mozilla.org/en-US/user/monbeata/;https://support.mozilla.org/en-US/user/rq/;https://support.mozilla.org/en-US/user/stasys410/
mg,Malagasy,,https://support.mozilla.org/en-US/kb/locales/mg,https://support.mozilla.org/en-US/user/vesper/,https://support.mozilla.org/en-US/user/vesper/;https://support.mozilla.org/en-US/user/MarianneChan/,"",""
mk,Macedonian,,https://support.mozilla.org/en-US/kb/locales/mk,https://support.mozilla.org/en-US/user/novica/,https://support.mozilla.org/en-US/user/novica/;https://support.mozilla.org/en-US/user/gdamjan/;https://support.mozilla.org/en-US/user/Adrijan_1990/;https://support.mozilla.org/en-US/user/glisha/;https://support.mozilla.org/en-US/user/anaris/;https://support.mozilla.org/en-US/user/user1639838/,https://support.mozilla.org/en-US/user/novica/;https://support.mozilla.org/en-US/user/gdamjan/;https://support.mozilla.org/en-US/user/Adrijan_1990/;https://support.mozilla.org/en-US/user/user1639838/,""
ml,Malayalam,,https://support.mozilla.org/en-US/kb/locales/ml,https://support.mozilla.org/en-US/user/cskumaresan/,https://support.mozilla.org/en-US/user/cskumaresan/;https://support.mozilla.org/en-US/user/riginoommen/,https://support.mozilla.org/en-US/user/cskumaresan/;https://support.mozilla.org/en-US/user/riginoommen/,""
ms,Malay,,https://support.mozilla.org/en-US/kb/locales/ms,https://support.mozilla.org/en-US/user/manxmensch/;https://support.mozilla.org/en-US/user/syafiqmazli/,https://support.mozilla.org/en-US/user/user893314/;https://support.mozilla.org/en-US/user/manxmensch/,https://support.mozilla.org/en-US/user/user893314/;https://support.mozilla.org/en-US/user/manxmensch/;https://support.mozilla.org/en-US/user/normanh38/;https://support.mozilla.org/en-US/user/nasrunsulaiman/,https://support.mozilla.org/en-US/user/brader777jack/;https://support.mozilla.org/en-US/user/carikerja781/
ne-NP,Nepali,,https://support.mozilla.org/en-US/kb/locales/ne-NP,https://support.mozilla.org/en-US/user/Avash/;https://support.mozilla.org/en-US/user/surit/,https://support.mozilla.org/en-US/user/Avash/;https://support.mozilla.org/en-US/user/surit/,https://support.mozilla.org/en-US/user/Avash/;https://support.mozilla.org/en-US/user/surit/;https://support.mozilla.org/en-US/user/manishdangol/,""
nl,Dutch,,https://support.mozilla.org/en-US/kb/locales/nl,https://support.mozilla.org/en-US/user/Fjoerfoks/;https://support.mozilla.org/en-US/user/Mad_Maks/,https://support.mozilla.org/en-US/user/Fjoerfoks/;https://support.mozilla.org/en-US/user/Mad_Maks/;https://support.mozilla.org/en-US/user/oeekker/;https://support.mozilla.org/en-US/user/markh2/,https://support.mozilla.org/en-US/user/Fjoerfoks/;https://support.mozilla.org/en-US/user/Mad_Maks/;https://support.mozilla.org/en-US/user/markh2/,https://support.mozilla.org/en-US/user/Fjoerfoks/;https://support.mozilla.org/en-US/user/Mad_Maks/;https://support.mozilla.org/en-US/user/markh2/;https://support.mozilla.org/en-US/user/robertflecken636/;https://support.mozilla.org/en-US/user/tammydeschryver/
no,Norwegian,,https://support.mozilla.org/en-US/kb/locales/no,https://support.mozilla.org/en-US/user/JCPlus/;https://support.mozilla.org/en-US/user/erling.rosag/,https://support.mozilla.org/en-US/user/JCPlus/;https://support.mozilla.org/en-US/user/erling.rosag/,https://support.mozilla.org/en-US/user/JCPlus/;https://support.mozilla.org/en-US/user/ingridmor1/;https://support.mozilla.org/en-US/user/16patsle/;https://support.mozilla.org/en-US/user/user1174865/;https://support.mozilla.org/en-US/user/Thaka/,https://support.mozilla.org/en-US/user/erling.rosag/;https://support.mozilla.org/en-US/user/kelimutu/
pl,Polish,,https://support.mozilla.org/en-US/kb/locales/pl,https://support.mozilla.org/en-US/user/GmbH/;https://support.mozilla.org/en-US/user/teo951/,https://support.mozilla.org/en-US/user/GmbH/;https://support.mozilla.org/en-US/user/teo951/;https://support.mozilla.org/en-US/user/TyDraniu/;https://support.mozilla.org/en-US/user/vesper/,https://support.mozilla.org/en-US/user/GmbH/;https://support.mozilla.org/en-US/user/teo951/;https://support.mozilla.org/en-US/user/TyDraniu/;https://support.mozilla.org/en-US/user/fxa90id/;https://support.mozilla.org/en-US/user/p4ntof3l/;https://support.mozilla.org/en-US/user/vesper/;https://support.mozilla.org/en-US/user/robert.d.wasik/;https://support.mozilla.org/en-US/user/problempomoge/;https://support.mozilla.org/en-US/user/agagom/;https://support.mozilla.org/en-US/user/clamsioPL/;https://support.mozilla.org/en-US/user/Karmanak/;https://support.mozilla.org/en-US/user/maciejkajp/;https://support.mozilla.org/en-US/user/Damianek17/,https://support.mozilla.org/en-US/user/teo951/;https://support.mozilla.org/en-US/user/TyDraniu/
pt-BR,Portuguese (Brazilian),,https://support.mozilla.org/en-US/kb/locales/pt-BR,https://support.mozilla.org/en-US/user/marcelo.ghelman/;https://support.mozilla.org/en-US/user/jhonatasrm/,https://support.mozilla.org/en-US/user/zilmar/;https://support.mozilla.org/en-US/user/FabioBeneditto/;https://support.mozilla.org/en-US/user/cynthiapereira/;https://support.mozilla.org/en-US/user/thiagopolicena/;https://support.mozilla.org/en-US/user/marcelo.ghelman/;https://support.mozilla.org/en-US/user/jhonatasrm/;https://support.mozilla.org/en-US/user/mchagas/,https://support.mozilla.org/en-US/user/alvarenga/;https://support.mozilla.org/en-US/user/andrelcmarinho/;https://support.mozilla.org/en-US/user/brwolfgang/;https://support.mozilla.org/en-US/user/cynthiapereira/;https://support.mozilla.org/en-US/user/thiagopolicena/;https://support.mozilla.org/en-US/user/marcelo.ghelman/;https://support.mozilla.org/en-US/user/Schieck/;https://support.mozilla.org/en-US/user/Hezorg/;https://support.mozilla.org/en-US/user/LeonardoM/;https://support.mozilla.org/en-US/user/HenriquePinho/,https://support.mozilla.org/en-US/user/filgueiravasconcelos@gmail.com/;https://support.mozilla.org/en-US/user/jhonatasrm/;https://support.mozilla.org/en-US/user/josefcunha/;https://support.mozilla.org/en-US/user/juliobrutos12/;https://support.mozilla.org/en-US/user/marcelo.ghelman/;https://support.mozilla.org/en-US/user/odara2274/;https://support.mozilla.org/en-US/user/samuelms79/;https://support.mozilla.org/en-US/user/xtremen0123/
pt-PT,Portuguese (Portugal),,https://support.mozilla.org/en-US/kb/locales/pt-PT,https://support.mozilla.org/en-US/user/cesperanc/;https://support.mozilla.org/en-US/user/carlossilva/;https://support.mozilla.org/en-US/user/user78093950602336096448530987922865457882/,https://support.mozilla.org/en-US/user/cesperanc/;https://support.mozilla.org/en-US/user/carlossilva/;https://support.mozilla.org/en-US/user/b1zFox/;https://support.mozilla.org/en-US/user/Manuela.Silva/,https://support.mozilla.org/en-US/user/cesperanc/;https://support.mozilla.org/en-US/user/Y4zata/;https://support.mozilla.org/en-US/user/carlossilva/;https://support.mozilla.org/en-US/user/b1zFox/;https://support.mozilla.org/en-US/user/pedroluzio/,https://support.mozilla.org/en-US/user/carlossilva/;https://support.mozilla.org/en-US/user/kelimutu/;https://support.mozilla.org/en-US/user/Manuela.Silva/;https://support.mozilla.org/en-US/user/user1282172/
ro,Romanian,,https://support.mozilla.org/en-US/kb/locales/ro,https://support.mozilla.org/en-US/user/CristianSilaghi/;https://support.mozilla.org/en-US/user/raulmalea/,https://support.mozilla.org/en-US/user/alexxed/;https://support.mozilla.org/en-US/user/CristianSilaghi/;https://support.mozilla.org/en-US/user/raulmalea/;https://support.mozilla.org/en-US/user/madasan/;https://support.mozilla.org/en-US/user/parfe/;https://support.mozilla.org/en-US/user/Jobava/,https://support.mozilla.org/en-US/user/alexxed/;https://support.mozilla.org/en-US/user/CristianSilaghi/;https://support.mozilla.org/en-US/user/raulmalea/;https://support.mozilla.org/en-US/user/ioana.chiorean/;https://support.mozilla.org/en-US/user/alex.lakatos/;https://support.mozilla.org/en-US/user/madasan/;https://support.mozilla.org/en-US/user/cmocanu/;https://support.mozilla.org/en-US/user/starwordz/;https://support.mozilla.org/en-US/user/Catalina_C/;https://support.mozilla.org/en-US/user/user1080136/;https://support.mozilla.org/en-US/user/adisuteu1/;https://support.mozilla.org/en-US/user/traianvintila81/;https://support.mozilla.org/en-US/user/dan.lungescu/,""
ru,Russian,,https://support.mozilla.org/en-US/kb/locales/ru,https://support.mozilla.org/en-US/user/Unghost/;https://support.mozilla.org/en-US/user/harrierr/;https://support.mozilla.org/en-US/user/Goudron/,https://support.mozilla.org/en-US/user/Unghost/;https://support.mozilla.org/en-US/user/harrierr/;https://support.mozilla.org/en-US/user/Anticisco/;https://support.mozilla.org/en-US/user/Goudron/;https://support.mozilla.org/en-US/user/denyshon/,https://support.mozilla.org/en-US/user/Unghost/;https://support.mozilla.org/en-US/user/harrierr/;https://support.mozilla.org/en-US/user/Anticisco/;https://support.mozilla.org/en-US/user/Goudron/;https://support.mozilla.org/en-US/user/denyshon/,https://support.mozilla.org/en-US/user/denyshon/;https://support.mozilla.org/en-US/user/Goudron/;https://support.mozilla.org/en-US/user/KagamineP/;https://support.mozilla.org/en-US/user/kelimutu/;https://support.mozilla.org/en-US/user/PlineV/;https://support.mozilla.org/en-US/user/tyomasque/
si,Sinhala,,https://support.mozilla.org/en-US/kb/locales/si,https://support.mozilla.org/en-US/user/ranganath/;https://support.mozilla.org/en-US/user/sdglhm/;https://support.mozilla.org/en-US/user/Amila_E/;https://support.mozilla.org/en-US/user/sakuofficial/,https://support.mozilla.org/en-US/user/ranganath/;https://support.mozilla.org/en-US/user/sdglhm/,https://support.mozilla.org/en-US/user/sdglhm/;https://support.mozilla.org/en-US/user/sajinikoongahawattage/,https://support.mozilla.org/en-US/user/pamkayotwokamri/
sk,Slovak,,https://support.mozilla.org/en-US/kb/locales/sk,https://support.mozilla.org/en-US/user/branislav.rozbora/;https://support.mozilla.org/en-US/user/kusavica/,https://support.mozilla.org/en-US/user/branislav.rozbora/;https://support.mozilla.org/en-US/user/kusavica/;https://support.mozilla.org/en-US/user/porubka/;https://support.mozilla.org/en-US/user/marcel11/,https://support.mozilla.org/en-US/user/wladow/;https://support.mozilla.org/en-US/user/branislav.rozbora/;https://support.mozilla.org/en-US/user/kusavica/;https://support.mozilla.org/en-US/user/porubka/;https://support.mozilla.org/en-US/user/marcel11/;https://support.mozilla.org/en-US/user/nizmo/,https://support.mozilla.org/en-US/user/jozef691963/;https://support.mozilla.org/en-US/user/jozef.691963/;https://support.mozilla.org/en-US/user/marcel11/;https://support.mozilla.org/en-US/user/martinpolomsky39/
sl,Slovenian,,https://support.mozilla.org/en-US/kb/locales/sl,https://support.mozilla.org/en-US/user/upwinxp/,https://support.mozilla.org/en-US/user/mathjazz/;https://support.mozilla.org/en-US/user/upwinxp/,https://support.mozilla.org/en-US/user/mathjazz/;https://support.mozilla.org/en-US/user/upwinxp/;https://support.mozilla.org/en-US/user/zerdo/,https://support.mozilla.org/en-US/user/upwinxp/
sq,Albanian,,https://support.mozilla.org/en-US/kb/locales/sq,https://support.mozilla.org/en-US/user/Besnik/,https://support.mozilla.org/en-US/user/Besnik/,https://support.mozilla.org/en-US/user/Besnik/;https://support.mozilla.org/en-US/user/gimi/,""
sr,Serbian,,https://support.mozilla.org/en-US/kb/locales/sr,https://support.mozilla.org/en-US/user/civas/;https://support.mozilla.org/en-US/user/Facyber/,https://support.mozilla.org/en-US/user/civas/;https://support.mozilla.org/en-US/user/user876012/;https://support.mozilla.org/en-US/user/Facyber/,https://support.mozilla.org/en-US/user/civas/;https://support.mozilla.org/en-US/user/user876012/;https://support.mozilla.org/en-US/user/Facyber/,""
sw,Swahili,,https://support.mozilla.org/en-US/kb/locales/sw,https://support.mozilla.org/en-US/user/buluma_michael/,https://support.mozilla.org/en-US/user/buluma_michael/,https://support.mozilla.org/en-US/user/phillipgandhi/;https://support.mozilla.org/en-US/user/buluma_michael/,""
sv,Swedish,,https://support.mozilla.org/en-US/kb/locales/sv,https://support.mozilla.org/en-US/user/_Andreas/,https://support.mozilla.org/en-US/user/_Andreas/,https://support.mozilla.org/en-US/user/admin/;https://support.mozilla.org/en-US/user/krissie/;https://support.mozilla.org/en-US/user/Lakrits/;https://support.mozilla.org/en-US/user/_Andreas/;https://support.mozilla.org/en-US/user/exostor/;https://support.mozilla.org/en-US/user/Majo73/,""
